name,type,datetime,open,high,low,close,volume
Amazon,stock,1647580800,134.50,135.75,133.90,135.25,1000
Amazon,stock,1647584400,135.30,135.50,134.80,135.30,500
Amazon,stock,1647588000,135.40,135.60,135.10,135.40,750
Amazon,stock,1647591600,135.35,135.55,135.00,135.35,800
Amazon,stock,1647595200,135.45,135.65,135.25,135.45,1200
Amazon,stock,1647598800,135.60,135.80,135.40,135.75,1500
Amazon,stock,1647602400,135.75,136.00,135.50,135.85,900
Amazon,stock,1647606000,135.80,136.10,135.70,136.05,1100
Amazon,stock,1647609600,135.90,136.20,135.80,136.15,800
Amazon,stock,1647613200,136.00,136.30,135.90,136.25,700
Amazon,stock,1647616800,136.10,136.40,136.00,136.30,600
Amazon,stock,1647620400,136.20,136.50,136.10,136.40,1000
Amazon,stock,1647624000,136.30,136.60,136.20,136.45,1200
Amazon,stock,1647627600,136.35,136.70,136.30,136.55,900
Amazon,stock,1647631200,136.50,136.80,136.40,136.70,600
Amazon,stock,1647634800,136.60,136.90,136.50,136.80,800
Amazon,stock,1647638400,136.70,137.00,136.60,136.95,500
Amazon,stock,1647642000,136.80,137.10,136.70,137.05,400
Amazon,stock,1647645600,136.90,137.20,136.80,137.10,300
Amazon,stock,1647649200,137.00,137.30,136.90,137.25,200
Amazon,stock,1647652800,127.05,127.40,127.00,127.30,500
Amazon,stock,1647656400,127.10,127.50,127.00,127.40,800
Amazon,stock,1647660000,127.20,127.60,127.10,127.50,1000
Amazon,stock,1647663600,134.30,134.70,134.20,134.60,600
Amazon,stock,1647667200,132.40,132.80,133.30,133.75,900
Amazon,Stock,1647670800,141.00,143.00,140.00,142.50,11
Amazon,Stock,1647674400,142.00,144.00,141.00,143.50,12
Amazon,Stock,1647678000,143.00,145.00,142.00,144.50,13
Amazon,Stock,1647681600,144.00,146.00,143.00,145.50,14
Amazon,Stock,1647685200,145.00,147.00,144.00,146.50,15
Amazon,Stock,1647688800,146.00,148.00,145.00,147.50,16
Amazon,Stock,1647692400,147.00,149.00,146.00,148.50,17
Amazon,Stock,1647696000,148.00,150.00,147.00,149.50,18
Amazon,Stock,1647699600,149.00,151.00,148.00,150.50,19
Amazon,Stock,1647703200,150.00,152.00,149.00,151.50,10
Amazon,Stock,1647706800,149.00,150.00,147.00,148.50,7
Amazon,Stock,1647710400,148.50,149.50,147.50,148.00,7
Amazon,Stock,1647714000,148.00,149.00,147.00,148.50,7
Amazon,Stock,1647717600,148.50,150.00,148.00,149.50,7
Amazon,Stock,1647721200,149.50,150.50,148.50,149.00,7
Amazon,Stock,1647724800,148.50,149.50,147.50,148.00,7
Amazon,Stock,1647728400,148.00,149.00,147.00,148.50,6
Amazon,Stock,1647732000,148.50,150.00,148.00,149.50,6
Amazon,Stock,1647735600,149.50,150.50,148.50,149.00,6
Amazon,Stock,1647739200,149.00,150.00,148.00,149.50,6
Amazon,Stock,1647742800,149.50,151.00,149.00,150.50,6
Amazon,Stock,1647746400,150.50,152.00,150.00,151.50,6
Amazon,Stock,1647750000,151.50,153.00,151.00,152.50,6
Amazon,Stock,1647753600,152.50,154.00,152.00,153.50,6
Amazon,Stock,1647757200,153.50,155.00,153.00,154.50,6
Amazon,Stock,1647760800,154.50,156.00,154.00,155.50,6
Amazon,Stock,1647764400,155.50,157.00,155.00,156.50,6
Amazon,Stock,1647768000,156.50,158.00,156.00,157.50,6
Amazon,Stock,1647771600,157.50,159.00,157.00,158.50,6
Amazon,Stock,1647775200,158.50,160.00,158.00,159.50,6
Amazon,Stock,1647778800,159.50,161.00,159.00,160.50,6
Amazon,Stock,1647782400,160.50,162.00,160.00,161.50,6
Amazon,Stock,1647786000,161.50,163.00,161.00,162.50,6
Amazon,Stock,1647789600,162.50,164.00,162.00,163.50,6
Amazon,Stock,1647793200,163.50,165.00,163.00,164.50,6
Amazon,Stock,1647796800,164.50,166.00,164.00,165.50,6
Amazon,Stock,1647800400,165.50,167.00,165.00,166.50,6
Amazon,Stock,1647804000,166.50,168.00,166.00,167.50,6
Amazon,Stock,1647807600,167.50,169.00,167.00,168.50,6
Amazon,Stock,1647811200,168.50,170.00,168.00,169.50,6
Amazon,Stock,1647814800,159.50,151.00,159.00,150.50,6
Amazon,Stock,1647818400,160.50,162.00,160.00,161.50,6
Amazon,Stock,1647822000,168.50,173.00,161.00,162.50,6
Amazon,Stock,1647825600,162.50,164.00,162.00,163.50,6
Amazon,Stock,1647829200,173.50,175.00,173.00,174.50,11
Amazon,Stock,1647832800,174.50,176.00,174.00,175.50,12
Amazon,Stock,1647836400,175.50,177.00,175.00,176.50,13
Amazon,Stock,1647840000,176.50,178.00,176.00,177.50,14
Amazon,Stock,1647843600,177.50,179.00,177.00,178.50,15
Amazon,Stock,1647847200,178.50,180.00,178.00,179.50,16
Amazon,Stock,1647850800,179.50,181.00,179.00,180.50,17
Amazon,Stock,1647854400,180.50,182.00,180.00,181.50,18
Amazon,Stock,1647858000,181.50,183.00,181.00,182.50,10
Amazon,Stock,1647861600,182.50,184.00,182.00,183.50,9
Amazon,Stock,1647865200,183.50,185.70,183.00,184.50,8
Amazon,Stock,1647868800,180.50,180.70,180.00,180.50,7
Amazon,Stock,1647872400,179.50,179.70,179.00,179.50,6
Amazon,Stock,1647876000,178.50,179.00,177.00,178.50,5
Amazon,Stock,1647879600,175.50,176.00,174.00,175.50,4
Amazon,Stock,1647883200,174.50,175.00,173.00,174.50,3
Amazon,Stock,1647886800,174.50,175.00,173.00,174.50,2
Amazon,Stock,1647890400,188.50,189.00,187.00,188.50,1
Amazon,Stock,1647894000,191.50,193.00,191.00,192.50,0.5
Amazon,Stock,1647897600,192.50,194.00,192.00,193.50,0.5
Amazon,Stock,1647901200,193.50,195.00,193.00,194.50,0.5
Amazon,Stock,1647904800,194.50,196.00,194.00,195.50,0.5
Amazon,Stock,1647908400,195.50,197.00,195.00,196.50,0.5
Amazon,Stock,1647912000,196.50,198.00,196.00,197.50,0.5
Amazon,Stock,1647915600,198.50,200.00,198.00,197.50,0.5
Amazon,Stock,1647919200,197.50,199.00,197.00,196.50,0.5
Amazon,Stock,1647922800,196.50,198.00,196.00,195.50,0.5
Amazon,Stock,1647926400,195.50,197.00,195.00,194.50,0.5
Amazon,Stock,1647930000,194.50,196.00,194.00,193.50,0.5
Amazon,Stock,1647933600,193.50,195.00,193.00,192.50,0.5
Amazon,Stock,1647937200,192.50,194.00,192.00,191.50,0.5
Amazon,Stock,1647940800,191.50,193.00,191.00,190.50,0.5
Amazon,Stock,1647944400,190.50,192.00,190.00,189.50,0.5
Amazon,Stock,1647948000,189.50,191.00,189.00,188.50,0.5
Amazon,Stock,1647951600,188.50,190.00,188.00,187.50,0.5
Amazon,Stock,1647955200,187.50,189.00,187.00,186.50,0.5
Amazon,Stock,1647958800,186.50,188.00,186.00,185.50,0.5
Amazon,Stock,1647962400,185.50,187.00,185.00,184.50,0.5
Amazon,Stock,1647966000,184.50,186.00,184.00,183.50,0.5
Amazon,Stock,1647969600,183.50,185.00,183.00,182.50,0.5
Amazon,Stock,1647973200,182.50,184.00,182.00,181.50,0.5
Amazon,Stock,1647976800,181.50,183.00,181.00,180.50,0.5
Amazon,Stock,1647980400,180.50,182.00,180.00,179.50,0.5
Amazon,Stock,1647984000,179.50,181.00,179.00,178.50,0.5
Amazon,Stock,1647987600,178.50,180.00,178.00,177.50,0.5
Dogecoin,crypto,1647580800,38000.00,38200.00,37700.00,38050.00,1
Dogecoin,crypto,1647584400,38050.00,38250.00,37750.00,38100.00,2
Dogecoin,crypto,1647588000,38100.00,38300.00,37800.00,38150.00,1
Dogecoin,crypto,1647591600,38150.00,38350.00,37850.00,38200.00,3
Dogecoin,crypto,1647595200,38200.00,38400.00,37900.00,38150.00,2
Dogecoin,crypto,1647598800,38150.00,38350.00,37850.00,38100.00,1
Dogecoin,crypto,1647602400,38100.00,38200.00,37700.00,38050.00,4
Dogecoin,crypto,1647606000,38050.00,38150.00,37650.00,38000.00,3
Dogecoin,crypto,1647609600,38000.00,38100.00,37600.00,37950.00,1
Dogecoin,crypto,1647613200,37950.00,38050.00,37550.00,37900.00,2
Dogecoin,crypto,1647616800,37900.00,38000.00,37500.00,37850.00,1
Dogecoin,crypto,1647620400,37850.00,37950.00,37450.00,37800.00,3
Dogecoin,crypto,1647624000,37800.00,37900.00,37400.00,37750.00,2
Dogecoin,crypto,1647627600,37750.00,37850.00,37350.00,37700.00,1
Dogecoin,crypto,1647631200,37700.00,37800.00,37300.00,37650.00,3
Dogecoin,crypto,1647634800,37650.00,37750.00,37250.00,37600.00,4
Dogecoin,crypto,1647638400,37600.00,37700.00,37200.00,37550.00,1
Dogecoin,crypto,1647642000,37550.00,37650.00,37150.00,37500.00,2
Dogecoin,crypto,1647645600,37500.00,37600.00,37100.00,37450.00,3
Dogecoin,crypto,1647649200,37450.00,37550.00,37050.00,37400.00,1
Dogecoin,crypto,1647652800,37400.00,37500.00,37000.00,37350.00,2
Dogecoin,crypto,1647656400,37350.00,37450.00,36950.00,37300.00,3
Dogecoin,crypto,1647660000,37300.00,37400.00,36900.00,37250.00,1
Dogecoin,crypto,1647663600,37250.00,37350.00,36850.00,37200.00,4
Dogecoin,crypto,1647667200,37200.00,37300.00,36800.00,37150.00,1
Dogecoin,crypto,1647670800,37150.00,37250.00,36750.00,37100.00,2
Dogecoin,crypto,1647674400,37100.00,37200.00,36700.00,37050.00,3
Dogecoin,crypto,1647678000,37050.00,37150.00,36650.00,37000.00,1
Dogecoin,crypto,1647681600,37000.00,37100.00,36600.00,36950.00,4
Dogecoin,crypto,1647685200,36950.00,37050.00,36550.00,36900.00,2
Dogecoin,crypto,1647688800,36900.00,37000.00,36500.00,36850.00,1
Dogecoin,crypto,1647692400,36850.00,36950.00,36450.00,36800.00,3
Dogecoin,crypto,1647696000,36800.00,36900.00,36400.00,36750.00,2
Dogecoin,crypto,1647699600,36750.00,36850.00,36350.00,36700.00,1
Dogecoin,crypto,1647703200,36700.00,36800.00,36300.00,36650.00,4
Dogecoin,crypto,1647706800,36650.00,36750.00,36250.00,36600.00,1
Dogecoin,crypto,1647710400,36600.00,36700.00,36200.00,36550.00,2
Dogecoin,crypto,1647714000,36550.00,36650.00,36150.00,36500.00,3
Dogecoin,crypto,1647717600,36500.00,36600.00,36100.00,36450.00,1
Dogecoin,crypto,1647721200,36450.00,36550.00,36050.00,36400.00,4
Dogecoin,crypto,1647724800,36400.00,36500.00,36000.00,36350.00,3
Dogecoin,crypto,1647728400,36350.00,36450.00,35950.00,36300.00,1
Dogecoin,crypto,1647732000,36300.00,36400.00,35900.00,36250.00,2
Dogecoin,crypto,1647735600,36250.00,36350.00,35850.00,36200.00,1
Dogecoin,crypto,1647739200,36200.00,36300.00,35800.00,36150.00,3
Dogecoin,crypto,1647742800,36150.00,36250.00,35750.00,36100.00,4
Dogecoin,crypto,1647746400,36100.00,36200.00,35700.00,36050.00,1
Dogecoin,crypto,1647750000,36050.00,36150.00,35650.00,36000.00,2
Dogecoin,crypto,1647753600,36000.00,36100.00,35600.00,35950.00,3
Dogecoin,crypto,1647757200,35950.00,36050.00,35550.00,35900.00,1
Dogecoin,crypto,1647760800,35900.00,36000.00,35500.00,35850.00,4
Dogecoin,crypto,1647764400,35850.00,35950.00,35450.00,35800.00,2
Dogecoin,crypto,1647768000,35800.00,35900.00,35400.00,35750.00,1
Dogecoin,crypto,1647771600,35750.00,35850.00,35350.00,35700.00,3
Dogecoin,crypto,1647775200,35650.00,35700.00,35800.00,35300.00,1
