name,type,datetime,open,high,low,close,volume
Apple Inc.,stock,1647580800,134.50,135.75,133.90,135.25,1000
Apple Inc.,stock,1647580860,135.30,135.50,134.80,135.30,500
Apple Inc.,stock,1647580920,135.40,135.60,135.10,135.40,750
Apple Inc.,stock,1647580980,135.35,135.55,135.00,135.35,800
Apple Inc.,stock,1647581040,135.45,135.65,135.25,135.45,1200
Apple Inc.,stock,1647581100,136.00,136.80,135.60,136.00,1500
Apple Inc.,stock,1647581160,137.50,138.20,137.10,137.50,2000
Apple Inc.,stock,1647581220,138.75,139.50,138.50,138.75,2500
Apple Inc.,stock,1647581280,140.00,141.00,139.75,140.00,3000
Apple Inc.,stock,1647581340,142.00,143.50,141.80,142.00,4000
Apple Inc.,stock,1647581400,145.00,146.80,144.50,145.00,5000
Apple Inc.,stock,1647581460,149.50,151.80,148.50,149.50,6000
Apple Inc.,stock,1647581520,155.00,157.80,154.50,155.00,7000
Apple Inc.,stock,1647581580,162.50,165.80,162.00,162.50,8000
Apple Inc.,stock,1647581640,170.00,173.80,169.50,170.00,9000
Bitcoin,crypto,1647580800,38000.00,38200.00,37700.00,38050.00,1
Bitcoin,crypto,1647580860,38100.00,38350.00,38000.00,38250.00,1
Bitcoin,crypto,1647580920,38200.00,38400.00,38100.00,38300.00,2
Bitcoin,crypto,1647580980,38050.00,38250.00,37950.00,38100.00,3
Bitcoin,crypto,1647581040,38300.00,38500.00,38150.00,38350.00,6
Bitcoin,crypto,1647581100,38400.00,38700.00,38300.00,38500.00,8
Bitcoin,crypto,1647581160,38600.00,38900.00,38500.00,38700.00,10
Bitcoin,crypto,1647581220,38750.00,39000.00,38600.00,38950.00,12
Bitcoin,crypto,1647581280,38800.00,39100.00,38700.00,39000.00,14
Bitcoin,crypto,1647581340,38900.00,39200.00,38800.00,39100.00,16
Bitcoin,crypto,1647581400,39000.00,39300.00,38900.00,39200.00,18
Bitcoin,crypto,1647581460,39200.00,39500.00,39100.00,39300.00,20
Bitcoin,crypto,1647581520,39400.00,39700.00,39300.00,39500.00,22
Bitcoin,crypto,1647581580,39500.00,39800.00,39400.00,39700.00,24
Bitcoin,crypto,1647581640,39700.00,40000.00,39600.00,39900.00,26
SPDR S&P 500 ETF,etf,1647580800,419.80,420.75,418.90,420.50,100
SPDR S&P 500 ETF,etf,1647580860,420.60,421.20,420.30,421.00,50
SPDR S&P 500 ETF,etf,1647580920,421.40,421.70,421.00,421.50,80
SPDR S&P 500 ETF,etf,1647580980,420.50,421.20,420.40,420.75,70
SPDR S&P 500 ETF,etf,1647581040,421.80,422.20,421.40,422.00,120
SPDR S&P 500 ETF,etf,1647581100,422.30,422.80,422.10,422.50,150
SPDR S&P 500 ETF,etf,1647581160,422.60,423.00,422.30,422.80,100
SPDR S&P 500 ETF,etf,1647581220,422.70,423.10,422.40,422.90,130
SPDR S&P 500 ETF,etf,1647581280,422.80,423.20,422.50,423.00,80
SPDR S&P 500 ETF,etf,1647581340,422.90,423.30,422.60,423.10,90
SPDR S&P 500 ETF,etf,1647581400,423.00,423.40,422.70,423.20,110
SPDR S&P 500 ETF,etf,1647581460,423.10,423.50,422.80,423.30,120
SPDR S&P 500 ETF,etf,1647581520,423.20,423.60,422.90,423.40,140
SPDR S&P 500 ETF,etf,1647581580,423.30,423.70,423.00,423.50,160
SPDR S&P 500 ETF,etf,1647581640,423.40,423.80,423.10,423.60,180
Ethereum,crypto,1647580800,2485.00,2505.00,2470.00,2500.00,2
Ethereum,crypto,1647580860,2495.00,2500.00,2490.00,2495.00,1
Ethereum,crypto,1647580920,2498.00,2502.00,2495.00,2498.00,1
Ethereum,crypto,1647580980,2502.00,2505.00,2498.00,2502.00,1
Ethereum,crypto,1647581040,2504.00,2508.00,2501.00,2505.00,2
Ethereum,crypto,1647581100,2250.00,2260.00,2230.00,2255.00,5
Ethereum,crypto,1647581160,2100.00,2120.00,2090.00,2115.00,8
Ethereum,crypto,1647581220,1900.00,1920.00,1890.00,1915.00,10
Ethereum,crypto,1647581280,1700.00,1740.00,1690.00,1735.00,12
Ethereum,crypto,1647581340,1500.00,1550.00,1480.00,1535.00,15
Ethereum,crypto,1647581400,1300.00,1400.00,1280.00,1385.00,18
Ethereum,crypto,1647581460,1100.00,1250.00,1050.00,1210.00,20
Ethereum,crypto,1647581520,900.00,1050.00,880.00,1015.00,22
Ethereum,crypto,1647581580,700.00,850.00,680.00,820.00,25
Ethereum,crypto,1647581640,500.00,750.00,480.00,710.00,28
Tesla Inc.,stock,1647580800,800.00,805.00,790.00,800.50,200
Tesla Inc.,stock,1647580860,802.00,810.00,800.00,805.00,150
Tesla Inc.,stock,1647580920,795.50,815.00,790.00,809.00,180
Tesla Inc.,stock,1647580980,810.00,820.00,805.00,813.50,120
Tesla Inc.,stock,1647581040,813.00,825.00,808.00,817.50,250
Tesla Inc.,stock,1647581100,817.50,830.00,815.00,820.00,300
Tesla Inc.,stock,1647581160,820.00,835.00,818.00,827.50,400
Tesla Inc.,stock,1647581220,828.00,840.00,825.00,832.00,350
Tesla Inc.,stock,1647581280,832.00,845.00,830.00,835.00,280
Tesla Inc.,stock,1647581340,835.50,850.00,833.00,841.50,200
Tesla Inc.,stock,1647581400,840.50,855.00,838.00,845.50,180
Tesla Inc.,stock,1647581460,846.00,860.00,843.00,851.50,150
Tesla Inc.,stock,1647581520,853.00,865.00,848.00,857.00,120
